turn,timestamp,faction,event_type,data
0,2026-02-02T08:54:36.145243Z,Algorithmic_Hierarchy,resource_transaction,"{""category"": ""Construction"", ""amount"": -900.0, ""planet"": ""Axuthos Secundus""}"
0,2026-02-02T08:54:36.146443Z,Algorithmic_Hierarchy,resource_transaction,"{""category"": ""Construction"", ""amount"": -400.0, ""planet"": ""Axuthos Secundus""}"
0,2026-02-02T08:54:36.147272Z,Algorithmic_Hierarchy,resource_transaction,"{""category"": ""Construction"", ""amount"": -1000.0, ""planet"": ""Axuthos Secundus""}"
0,2026-02-02T08:54:36.148057Z,Algorithmic_Hierarchy,resource_transaction,"{""category"": ""Construction"", ""amount"": -1200.0, ""planet"": ""Axuthos Secundus""}"
0,2026-02-02T08:54:36.148913Z,Algorithmic_Hierarchy,resource_transaction,"{""category"": ""Construction"", ""amount"": -600.0, ""planet"": ""Axuthos Secundus""}"
0,2026-02-02T08:54:36.149712Z,Algorithmic_Hierarchy,resource_transaction,"{""category"": ""Construction"", ""amount"": -400.0, ""planet"": ""Axuthos Secundus""}"
0,2026-02-02T08:54:36.151035Z,Algorithmic_Hierarchy,resource_transaction,"{""category"": ""Construction"", ""amount"": -500.0, ""planet"": ""Axuthos Secundus""}"
0,2026-02-02T08:54:36.151894Z,Algorithmic_Hierarchy,resource_transaction,"{""category"": ""Construction"", ""amount"": -1000.0, ""planet"": ""Axuthos Secundus""}"
0,2026-02-02T08:54:36.152737Z,Algorithmic_Hierarchy,resource_transaction,"{""category"": ""Construction"", ""amount"": -1000.0, ""planet"": ""Axuthos Secundus""}"
0,2026-02-02T08:54:36.153592Z,Algorithmic_Hierarchy,resource_transaction,"{""category"": ""Construction"", ""amount"": -500.0, ""planet"": ""Axuthos Secundus""}"
0,2026-02-02T08:54:36.154413Z,Algorithmic_Hierarchy,resource_transaction,"{""category"": ""Construction"", ""amount"": -900.0, ""planet"": ""Axuthos Secundus""}"
0,2026-02-02T08:54:36.155671Z,Algorithmic_Hierarchy,resource_transaction,"{""category"": ""Construction"", ""amount"": -1000.0, ""planet"": ""Axuthos Secundus""}"
0,2026-02-02T08:54:36.156546Z,Algorithmic_Hierarchy,resource_transaction,"{""category"": ""Construction"", ""amount"": -1000.0, ""planet"": ""Axuthos Secundus""}"
0,2026-02-02T08:54:36.157529Z,Algorithmic_Hierarchy,resource_transaction,"{""category"": ""Construction"", ""amount"": -600.0, ""planet"": ""Axuthos Secundus""}"
0,2026-02-02T08:54:36.158412Z,Algorithmic_Hierarchy,resource_transaction,"{""category"": ""Construction"", ""amount"": -800.0, ""planet"": ""Axuthos Secundus""}"
0,2026-02-02T08:54:36.159290Z,Algorithmic_Hierarchy,resource_transaction,"{""category"": ""Construction"", ""amount"": -600.0, ""planet"": ""Axuthos Secundus""}"
